Unnamed: 0,PostId,PostUrl,PostEngagement,Platform,ChannelID,ChannelName,ChannelUid,ChannelUrl,ChannelEngagement,post_body_text,GoogleAudioText,VoskAudioText,EmbeddedContentText,published_at,post_data,post_media_urls,LikesCount,SharesCount,CommentsCount,ViewsCount,post_media_file,embedded_post_text,search_data,embedded,Tweet,AuthorTweet,Datetime,id
51737,285642508,https://twitter.com/maddow/status/1819907272165712353,,Twitter,7501314,Rachel Maddow MSNBC,blank_for_now,blank_for_now,"{""follower_count"":9841660,""following_count"":4515,""like_count"":null,""post_count"":20167,""views_count"":null,""comment_count"":null,""share_count"":null}",RT @KamalaHQ: This is weird 👇, ,no longer populated,This is weird 👇,2024-08-04T01:24:40.000Z,post data removed,,0,4221,0,16,,This is weird 👇,,Embedded content: ,RT @KamalaHQ: This is weird 👇,"Author: Rachel Maddow MSNBC
Tweet: RT @KamalaHQ: This is weird 👇",2024-08-04 01:24:40,285642508
51746,285642521,https://twitter.com/maddow/status/1819899040261455880,,Twitter,7501314,Rachel Maddow MSNBC,blank_for_now,blank_for_now,"{""follower_count"":9841660,""following_count"":4515,""like_count"":null,""post_count"":20167,""views_count"":null,""comment_count"":null,""share_count"":null}","RT @KamalaHQ: Trump calls the Georgia Secretary of State “disloyal” for not “finding” him 11,780 votes and then attacks his wife https://t.…", ,no longer populated,"Trump calls the Georgia Secretary of State “disloyal” for not “finding” him 11,780 votes and then attacks his wife https://t.co/kPIfLqZ8B8",2024-08-04T00:51:57.000Z,post data removed,,0,6159,0,14,,"Trump calls the Georgia Secretary of State “disloyal” for not “finding” him 11,780 votes and then attacks his wife https://t.co/kPIfLqZ8B8",,Embedded content: ,"RT @KamalaHQ: Trump calls the Georgia Secretary of State “disloyal” for not “finding” him 11,780 votes and then attacks his wife https://t.…","Author: Rachel Maddow MSNBC
Tweet: RT @KamalaHQ: Trump calls the Georgia Secretary of State “disloyal” for not “finding” him 11,780 votes and then attacks his wife https://t.…",2024-08-04 00:51:57,285642521
73685,244576191,https://twitter.com/maddow/status/1797620929406919057,,Twitter,7501314,Rachel Maddow MSNBC,blank_for_now,blank_for_now,"{""follower_count"":9841660,""following_count"":4515,""like_count"":null,""post_count"":20167,""views_count"":null,""comment_count"":null,""share_count"":null}",RT @MaddowBlog: !! https://t.co/cNXes11FjH https://t.co/MmEEYWdsmC, ,no longer populated,!! https://t.co/cNXes11FjH https://t.co/MmEEYWdsmC,2024-06-03T13:26:42.000Z,post data removed,https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCS3pGNURrPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--a5f01865f8f90f5b62f0ebab21b9803310ff418a/post-7501314-244576191-thumbnail,0,410,0,8,,!! https://t.co/cNXes11FjH https://t.co/MmEEYWdsmC,,Embedded content: ,RT @MaddowBlog: !! https://t.co/cNXes11FjH https://t.co/MmEEYWdsmC,"Author: Rachel Maddow MSNBC
Tweet: RT @MaddowBlog: !! https://t.co/cNXes11FjH https://t.co/MmEEYWdsmC",2024-06-03 13:26:42,244576191
73686,244576225,https://twitter.com/maddow/status/1797620898150895769,,Twitter,7501314,Rachel Maddow MSNBC,blank_for_now,blank_for_now,"{""follower_count"":9841660,""following_count"":4515,""like_count"":null,""post_count"":20167,""views_count"":null,""comment_count"":null,""share_count"":null}",RT @MaddowBlog: Rachel Maddow’s award-winning podcast “Ultra” is back for a second season. Rachel Maddow tells the story of an internationa…, ,no longer populated,"Rachel Maddow’s award-winning podcast “Ultra” is back for a second season. Rachel Maddow tells the story of an international manhunt for a spy that infiltrated the U.S. Army’s war crime prosecutions in post-war Germany. 

Listen to the trailer and follow: https://t.co/cNXes11FjH https://t.co/PypQH33OX6",2024-06-03T13:26:34.000Z,post data removed,,0,670,0,12,,"Rachel Maddow’s award-winning podcast “Ultra” is back for a second season. Rachel Maddow tells the story of an international manhunt for a spy that infiltrated the U.S. Army’s war crime prosecutions in post-war Germany. 

Listen to the trailer and follow: https://t.co/cNXes11FjH https://t.co/PypQH33OX6",,Embedded content: ,RT @MaddowBlog: Rachel Maddow’s award-winning podcast “Ultra” is back for a second season. Rachel Maddow tells the story of an internationa…,"Author: Rachel Maddow MSNBC
Tweet: RT @MaddowBlog: Rachel Maddow’s award-winning podcast “Ultra” is back for a second season. Rachel Maddow tells the story of an internationa…",2024-06-03 13:26:34,244576225
97786,205641794,https://twitter.com/maddow/status/1767265683908272288,,Twitter,7501314,Rachel Maddow MSNBC,blank_for_now,blank_for_now,"{""follower_count"":9841660,""following_count"":4515,""like_count"":null,""post_count"":20167,""views_count"":null,""comment_count"":null,""share_count"":null}","RT @anneapplebaum: Americans don't seem to realize that Trump's policy - ""Let Russia Win"" - is slowly becoming America's policy. For more t…", ,no longer populated,"Americans don't seem to realize that Trump's policy - ""Let Russia Win"" - is slowly becoming America's policy. For more than 6 months, at his bidding, a minority in the House has blocked aid to Ukraine.",2024-03-11T19:05:47.000Z,post data removed,,0,5510,0,25,,"Americans don't seem to realize that Trump's policy - ""Let Russia Win"" - is slowly becoming America's policy. For more than 6 months, at his bidding, a minority in the House has blocked aid to Ukraine.",,Embedded content: ,"RT @anneapplebaum: Americans don't seem to realize that Trump's policy - ""Let Russia Win"" - is slowly becoming America's policy. For more t…","Author: Rachel Maddow MSNBC
Tweet: RT @anneapplebaum: Americans don't seem to realize that Trump's policy - ""Let Russia Win"" - is slowly becoming America's policy. For more t…",2024-03-11 19:05:47,205641794
98632,204584914,https://twitter.com/maddow/status/1765974810268492173,,Twitter,7501314,Rachel Maddow MSNBC,blank_for_now,blank_for_now,"{""follower_count"":9841660,""following_count"":4515,""like_count"":null,""post_count"":20167,""views_count"":null,""comment_count"":null,""share_count"":null}","RT @CapehartJ: 👇🏾Looking forward to this. Thanks, @maddow!", ,no longer populated,"👇🏾Looking forward to this. Thanks, @maddow!",2024-03-08T05:36:19.000Z,post data removed,,0,717,0,16,,"👇🏾Looking forward to this. Thanks, @maddow!",,Embedded content: ,"RT @CapehartJ: 👇🏾Looking forward to this. Thanks, @maddow!","Author: Rachel Maddow MSNBC
Tweet: RT @CapehartJ: 👇🏾Looking forward to this. Thanks, @maddow!",2024-03-08 05:36:19,204584914
98741,204536540,https://twitter.com/maddow/status/1765869140202471762,,Twitter,7501314,Rachel Maddow MSNBC,blank_for_now,blank_for_now,"{""follower_count"":9841660,""following_count"":4515,""like_count"":null,""post_count"":20167,""views_count"":null,""comment_count"":null,""share_count"":null}",RT @DeadlineWH: “Biden can’t treat Trump like he is normal…He needs to say absolutely not no briefings. As long as you are under indictment…, ,no longer populated,"“Biden can’t treat Trump like he is normal…He needs to say absolutely not no briefings. As long as you are under indictment for violating the secrets of this country, you do not get briefings. If you don’t like it, pound sand.” @clairecmc w/ @NicolleDWallace https://t.co/obMjtRccb4",2024-03-07T22:36:25.000Z,post data removed,,0,4995,0,14,,"“Biden can’t treat Trump like he is normal…He needs to say absolutely not no briefings. As long as you are under indictment for violating the secrets of this country, you do not get briefings. If you don’t like it, pound sand.” @clairecmc w/ @NicolleDWallace https://t.co/obMjtRccb4",,Embedded content: ,RT @DeadlineWH: “Biden can’t treat Trump like he is normal…He needs to say absolutely not no briefings. As long as you are under indictment…,"Author: Rachel Maddow MSNBC
Tweet: RT @DeadlineWH: “Biden can’t treat Trump like he is normal…He needs to say absolutely not no briefings. As long as you are under indictment…",2024-03-07 22:36:25,204536540
99924,202718326,https://twitter.com/maddow/status/1763800451168755743,,Twitter,7501314,Rachel Maddow MSNBC,blank_for_now,blank_for_now,"{""follower_count"":9841660,""following_count"":4515,""like_count"":null,""post_count"":20167,""views_count"":null,""comment_count"":null,""share_count"":null}","RT @NewsHour: Alexei Navalny was buried today on the outskirts of Moscow, two weeks after his sudden death in a Siberian prison camp.

He w…", ,no longer populated,"Alexei Navalny was buried today on the outskirts of Moscow, two weeks after his sudden death in a Siberian prison camp.

He was mourned by thousands in the streets amid threats by the Kremlin and a massive police presence.

@nickschifrin reports. https://t.co/dUvbHutFZ6",2024-03-02T05:36:12.000Z,post data removed,,0,682,0,13,,"Alexei Navalny was buried today on the outskirts of Moscow, two weeks after his sudden death in a Siberian prison camp.

He was mourned by thousands in the streets amid threats by the Kremlin and a massive police presence.

@nickschifrin reports. https://t.co/dUvbHutFZ6",,Embedded content: ,"RT @NewsHour: Alexei Navalny was buried today on the outskirts of Moscow, two weeks after his sudden death in a Siberian prison camp.

He w…","Author: Rachel Maddow MSNBC
Tweet: RT @NewsHour: Alexei Navalny was buried today on the outskirts of Moscow, two weeks after his sudden death in a Siberian prison camp.

He w…",2024-03-02 05:36:12,202718326
99925,202718330,https://twitter.com/maddow/status/1763800396508627107,,Twitter,7501314,Rachel Maddow MSNBC,blank_for_now,blank_for_now,"{""follower_count"":9841660,""following_count"":4515,""like_count"":null,""post_count"":20167,""views_count"":null,""comment_count"":null,""share_count"":null}","RT @novayagazeta_en: Alexey Navalny’s daughter Daria pays tribute to her late father

“Dad, you were an example for many across the globe.…", ,no longer populated,"Alexey Navalny’s daughter Daria pays tribute to her late father

“Dad, you were an example for many across the globe. Your optimism and contagious, sincere smile. Your curiosity and thirst for knowledge. Your incredible ability to find common ground with anyone. Your wit. Your sense of humour. Your ability to find the right words at the moment of need (or a joke to make everyone loosen up in a difficult situation). Your kindness. Your faith in the good, in yourself, in people. Since I was a kid, you've been teaching me to live by the principles. To live with dignity. You gave your life for me, for mum, for Zakhar, for Russia, and I promise that I will live my life the way you taught me, so you’re proud of me, and most importantly, with the same smile on my face,” she wrote in an Instagram post.

📷: Daria Navalnaya / Instagram",2024-03-02T05:35:59.000Z,post data removed,,0,744,0,13,,"Alexey Navalny’s daughter Daria pays tribute to her late father

“Dad, you were an example for many across the globe. Your optimism and contagious, sincere smile. Your curiosity and thirst for knowledge. Your incredible ability to find common ground with anyone. Your wit. Your sense of humour. Your ability to find the right words at the moment of need (or a joke to make everyone loosen up in a difficult situation). Your kindness. Your faith in the good, in yourself, in people. Since I was a kid, you've been teaching me to live by the principles. To live with dignity. You gave your life for me, for mum, for Zakhar, for Russia, and I promise that I will live my life the way you taught me, so you’re proud of me, and most importantly, with the same smile on my face,” she wrote in an Instagram post.

📷: Daria Navalnaya / Instagram",,Embedded content: ,"RT @novayagazeta_en: Alexey Navalny’s daughter Daria pays tribute to her late father

“Dad, you were an example for many across the globe.…","Author: Rachel Maddow MSNBC
Tweet: RT @novayagazeta_en: Alexey Navalny’s daughter Daria pays tribute to her late father

“Dad, you were an example for many across the globe.…",2024-03-02 05:35:59,202718330
99927,202718336,https://twitter.com/maddow/status/1763800138915467375,,Twitter,7501314,Rachel Maddow MSNBC,blank_for_now,blank_for_now,"{""follower_count"":9841660,""following_count"":4515,""like_count"":null,""post_count"":20167,""views_count"":null,""comment_count"":null,""share_count"":null}",RT @McFaul: Thank you @yulia_navalnaya for sharing this beautiful video and loving words with the world on one of the darkest days of your…, ,no longer populated,Thank you @yulia_navalnaya for sharing this beautiful video and loving words with the world on one of the darkest days of your life.  спасибо.,2024-03-02T05:34:57.000Z,post data removed,,0,1291,0,9,,Thank you @yulia_navalnaya for sharing this beautiful video and loving words with the world on one of the darkest days of your life.  спасибо.,,Embedded content: ,RT @McFaul: Thank you @yulia_navalnaya for sharing this beautiful video and loving words with the world on one of the darkest days of your…,"Author: Rachel Maddow MSNBC
Tweet: RT @McFaul: Thank you @yulia_navalnaya for sharing this beautiful video and loving words with the world on one of the darkest days of your…",2024-03-02 05:34:57,202718336
