Unnamed: 0,PostId,PostUrl,PostEngagement,Platform,ChannelID,ChannelName,ChannelUid,ChannelUrl,ChannelEngagement,post_body_text,GoogleAudioText,VoskAudioText,EmbeddedContentText,published_at,post_data,post_media_urls,LikesCount,SharesCount,CommentsCount,ViewsCount,post_media_file,embedded_post_text,search_data,embedded,Tweet,AuthorTweet,Datetime,id
404,400577223,https://twitter.com/TuckerCarlson/status/1873791378049978418,,Twitter,7323732,Tucker Carlson,blank_for_now,blank_for_now,"{""follower_count"":15390330,""following_count"":2,""like_count"":null,""post_count"":5150,""views_count"":null,""comment_count"":null,""share_count"":null}","Paid partnerships with:

ExpressVPN: Get 3 months free at https://t.co/qjtwz8Opul

Heritage Foundation: https://t.co/34BFsO5dCg  

Hallow: Get 3 months free at https://t.co/Ku9UV0PmEw  

Policygenius: Get your free life insurance quotes today at https://t.co/TlEOdAmqrK", ,no longer populated,"An unhealthy, over-medicated country means record profits for insurance companies. Brigham Buhler explains how they work to keep us sick and monetize chronic illness.

(0:00) The Assassination of the UnitedHealthcare CEO
(13:32) The Opioid Crisis Could Have Been Prevented
(27:32) Monetizing Your Chronic Illness
(32:17) How Health Insurance Companies Are Scamming You
(48:01) The Mass Exodus of Doctors
(52:55) How They Profit off of Cancer
(1:07:11) Trump’s Plan to Cut Out the Medical Middle Man
(1:20:34) Why Are Media Outlets Lying About This?

Includes paid partnerships.",2024-12-30T18:00:52.000Z,post data removed,,1438,171,95,575360,,"An unhealthy, over-medicated country means record profits for insurance companies. Brigham Buhler explains how they work to keep us sick and monetize chronic illness.

(0:00) The Assassination of the UnitedHealthcare CEO
(13:32) The Opioid Crisis Could Have Been Prevented
(27:32) Monetizing Your Chronic Illness
(32:17) How Health Insurance Companies Are Scamming You
(48:01) The Mass Exodus of Doctors
(52:55) How They Profit off of Cancer
(1:07:11) Trump’s Plan to Cut Out the Medical Middle Man
(1:20:34) Why Are Media Outlets Lying About This?

Includes paid partnerships.",,Embedded content: ,"Paid partnerships with:

ExpressVPN: Get 3 months free at https://t.co/qjtwz8Opul

Heritage Foundation: https://t.co/34BFsO5dCg  

Hallow: Get 3 months free at https://t.co/Ku9UV0PmEw  

Policygenius: Get your free life insurance quotes today at https://t.co/TlEOdAmqrK","Author: Tucker Carlson
Tweet: Paid partnerships with:

ExpressVPN: Get 3 months free at https://t.co/qjtwz8Opul

Heritage Foundation: https://t.co/34BFsO5dCg  

Hallow: Get 3 months free at https://t.co/Ku9UV0PmEw  

Policygenius: Get your free life insurance quotes today at https://t.co/TlEOdAmqrK",2024-12-30 18:00:52,400577223
406,400473500,https://twitter.com/TuckerCarlson/status/1873791179952971802,,Twitter,7323732,Tucker Carlson,blank_for_now,blank_for_now,"{""follower_count"":16075025,""following_count"":2,""like_count"":null,""post_count"":5220,""views_count"":null,""comment_count"":null,""share_count"":null}","An unhealthy, over-medicated country means record profits for insurance companies. Brigham Buhler explains how they work to keep us sick and monetize chronic illness.

(0:00) The Assassination of the UnitedHealthcare CEO
(13:32) The Opioid Crisis Could Have Been Prevented
(27:32) Monetizing Your Chronic Illness
(32:17) How Health Insurance Companies Are Scamming You
(48:01) The Mass Exodus of Doctors
(52:55) How They Profit off of Cancer
(1:07:11) Trump’s Plan to Cut Out the Medical Middle Man
(1:20:34) Why Are Media Outlets Lying About This?

Includes paid partnerships.", ,no longer populated,,2024-12-30T18:00:05.000Z,post data removed,,19822,6664,1484,3779698,,,,Embedded content: ,"An unhealthy, over-medicated country means record profits for insurance companies. Brigham Buhler explains how they work to keep us sick and monetize chronic illness.

(0:00) The Assassination of the UnitedHealthcare CEO
(13:32) The Opioid Crisis Could Have Been Prevented
(27:32) Monetizing Your Chronic Illness
(32:17) How Health Insurance Companies Are Scamming You
(48:01) The Mass Exodus of Doctors
(52:55) How They Profit off of Cancer
(1:07:11) Trump’s Plan to Cut Out the Medical Middle Man
(1:20:34) Why Are Media Outlets Lying About This?

Includes paid partnerships.","Author: Tucker Carlson
Tweet: An unhealthy, over-medicated country means record profits for insurance companies. Brigham Buhler explains how they work to keep us sick and monetize chronic illness.

(0:00) The Assassination of the UnitedHealthcare CEO
(13:32) The Opioid Crisis Could Have Been Prevented
(27:32) Monetizing Your Chronic Illness
(32:17) How Health Insurance Companies Are Scamming You
(48:01) The Mass Exodus of Doctors
(52:55) How They Profit off of Cancer
(1:07:11) Trump’s Plan to Cut Out the Medical Middle Man
(1:20:34) Why Are Media Outlets Lying About This?

Includes paid partnerships.",2024-12-30 18:00:05,400473500
971,399284998,https://twitter.com/TuckerCarlson/status/1872704355671130426,,Twitter,7323732,Tucker Carlson,blank_for_now,blank_for_now,"{""follower_count"":15398313,""following_count"":2,""like_count"":null,""post_count"":5152,""views_count"":null,""comment_count"":null,""share_count"":null}","Paid partnership with:

Jase Medical: Use promo code “Tucker” for an extra discount at https://t.co/eQTjdD51wf", ,no longer populated,"The New York Times claims the evil Bobby Kennedy wants to ban the polio vaccine and paralyze children. That’s an absurd lie, explains his lawyer Aaron Siri.

(0:00) The Establishment’s Attempt to Discredit Bobby Kennedy Jr.
(8:18) The Vaccine Religion
(18:57) Did Anyone Protest This Polio Vaccine?
(21:04) How the Government Protects Vaccine Developers
(30:51) The New York Times vs. Bobby Kennedy Jr.
(50:31) Why Is Nobody Lobbying Against This?
(55:03) How Profitable Is the Vaccine Industry?
(1:06:22) The Perversion of Science
(1:10:47) Siri Risked Everything to Speak Out
(1:25:57) The Dark Link Between Abortion and the Vaccine Industry
(1:43:39) Will Bobby Kennedy Jr. Be Confirmed?

Includes paid partnerships.",2024-12-27T18:01:26.000Z,post data removed,,1870,218,104,652312,,"The New York Times claims the evil Bobby Kennedy wants to ban the polio vaccine and paralyze children. That’s an absurd lie, explains his lawyer Aaron Siri.

(0:00) The Establishment’s Attempt to Discredit Bobby Kennedy Jr.
(8:18) The Vaccine Religion
(18:57) Did Anyone Protest This Polio Vaccine?
(21:04) How the Government Protects Vaccine Developers
(30:51) The New York Times vs. Bobby Kennedy Jr.
(50:31) Why Is Nobody Lobbying Against This?
(55:03) How Profitable Is the Vaccine Industry?
(1:06:22) The Perversion of Science
(1:10:47) Siri Risked Everything to Speak Out
(1:25:57) The Dark Link Between Abortion and the Vaccine Industry
(1:43:39) Will Bobby Kennedy Jr. Be Confirmed?

Includes paid partnerships.",,Embedded content: ,"Paid partnership with:

Jase Medical: Use promo code “Tucker” for an extra discount at https://t.co/eQTjdD51wf","Author: Tucker Carlson
Tweet: Paid partnership with:

Jase Medical: Use promo code “Tucker” for an extra discount at https://t.co/eQTjdD51wf",2024-12-27 18:01:26,399284998
972,399200543,https://twitter.com/TuckerCarlson/status/1872704176154619980,,Twitter,7323732,Tucker Carlson,blank_for_now,blank_for_now,"{""follower_count"":16294601,""following_count"":2,""like_count"":null,""post_count"":5249,""views_count"":null,""comment_count"":null,""share_count"":null}","The New York Times claims the evil Bobby Kennedy wants to ban the polio vaccine and paralyze children. That’s an absurd lie, explains his lawyer Aaron Siri.

(0:00) The Establishment’s Attempt to Discredit Bobby Kennedy Jr.
(8:18) The Vaccine Religion
(18:57) Did Anyone Protest This Polio Vaccine?
(21:04) How the Government Protects Vaccine Developers
(30:51) The New York Times vs. Bobby Kennedy Jr.
(50:31) Why Is Nobody Lobbying Against This?
(55:03) How Profitable Is the Vaccine Industry?
(1:06:22) The Perversion of Science
(1:10:47) Siri Risked Everything to Speak Out
(1:25:57) The Dark Link Between Abortion and the Vaccine Industry
(1:43:39) Will Bobby Kennedy Jr. Be Confirmed?

Includes paid partnerships.", ,no longer populated,,2024-12-27T18:00:43.000Z,post data removed,https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCT3VWMWprPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--e65a1f8e243767cb05501d3b6f7f947d17176cc7/post-7323732-399200543-thumbnail,27902,9765,1736,5496287,,,,Embedded content: ,"The New York Times claims the evil Bobby Kennedy wants to ban the polio vaccine and paralyze children. That’s an absurd lie, explains his lawyer Aaron Siri.

(0:00) The Establishment’s Attempt to Discredit Bobby Kennedy Jr.
(8:18) The Vaccine Religion
(18:57) Did Anyone Protest This Polio Vaccine?
(21:04) How the Government Protects Vaccine Developers
(30:51) The New York Times vs. Bobby Kennedy Jr.
(50:31) Why Is Nobody Lobbying Against This?
(55:03) How Profitable Is the Vaccine Industry?
(1:06:22) The Perversion of Science
(1:10:47) Siri Risked Everything to Speak Out
(1:25:57) The Dark Link Between Abortion and the Vaccine Industry
(1:43:39) Will Bobby Kennedy Jr. Be Confirmed?

Includes paid partnerships.","Author: Tucker Carlson
Tweet: The New York Times claims the evil Bobby Kennedy wants to ban the polio vaccine and paralyze children. That’s an absurd lie, explains his lawyer Aaron Siri.

(0:00) The Establishment’s Attempt to Discredit Bobby Kennedy Jr.
(8:18) The Vaccine Religion
(18:57) Did Anyone Protest This Polio Vaccine?
(21:04) How the Government Protects Vaccine Developers
(30:51) The New York Times vs. Bobby Kennedy Jr.
(50:31) Why Is Nobody Lobbying Against This?
(55:03) How Profitable Is the Vaccine Industry?
(1:06:22) The Perversion of Science
(1:10:47) Siri Risked Everything to Speak Out
(1:25:57) The Dark Link Between Abortion and the Vaccine Industry
(1:43:39) Will Bobby Kennedy Jr. Be Confirmed?

Includes paid partnerships.",2024-12-27 18:00:43,399200543
1782,397651117,https://twitter.com/TuckerCarlson/status/1871254732922335380,,Twitter,7323732,Tucker Carlson,blank_for_now,blank_for_now,"{""follower_count"":15350968,""following_count"":2,""like_count"":null,""post_count"":5147,""views_count"":null,""comment_count"":null,""share_count"":null}","Paid partnerships with:

ExpressVPN: Get 3 months free at https://t.co/qjtwz8Opul

PureTalk: Get 50% off your first month at https://t.co/bZCTvzl39x

PreBorn: Save babies and souls at https://t.co/tGZ7WEdLiz", ,no longer populated,"Teamsters president Sean O’Brien on Kamala Harris: ""Who does this fucking lady think she is?""

(0:00) Kamala Harris and the Left Hate the Working Class
(10:42) What Is the Teamsters Union?
(24:57) Why the Left Ruins America’s Major Cities
(33:40) The Democrat Party’s Abuse of Joe https://t.co/YM7Smj9Ny2",2024-12-23T18:01:09.000Z,post data removed,,1478,184,110,643300,,"Teamsters president Sean O’Brien on Kamala Harris: ""Who does this fucking lady think she is?""

(0:00) Kamala Harris and the Left Hate the Working Class
(10:42) What Is the Teamsters Union?
(24:57) Why the Left Ruins America’s Major Cities
(33:40) The Democrat Party’s Abuse of Joe https://t.co/YM7Smj9Ny2",,Embedded content: ,"Paid partnerships with:

ExpressVPN: Get 3 months free at https://t.co/qjtwz8Opul

PureTalk: Get 50% off your first month at https://t.co/bZCTvzl39x

PreBorn: Save babies and souls at https://t.co/tGZ7WEdLiz","Author: Tucker Carlson
Tweet: Paid partnerships with:

ExpressVPN: Get 3 months free at https://t.co/qjtwz8Opul

PureTalk: Get 50% off your first month at https://t.co/bZCTvzl39x

PreBorn: Save babies and souls at https://t.co/tGZ7WEdLiz",2024-12-23 18:01:09,397651117
1783,397468451,https://twitter.com/TuckerCarlson/status/1871254632074461685,,Twitter,7323732,Tucker Carlson,blank_for_now,blank_for_now,"{""follower_count"":15350968,""following_count"":2,""like_count"":null,""post_count"":5147,""views_count"":null,""comment_count"":null,""share_count"":null}","Teamsters president Sean O’Brien on Kamala Harris: ""Who does this fucking lady think she is?""

(0:00) Kamala Harris and the Left Hate the Working Class
(10:42) What Is the Teamsters Union?
(24:57) Why the Left Ruins America’s Major Cities
(33:40) The Democrat Party’s Abuse of Joe https://t.co/YM7Smj9Ny2", ,no longer populated,,2024-12-23T18:00:45.000Z,post data removed,,16295,4485,1205,3584632,,,,Embedded content: ,"Teamsters president Sean O’Brien on Kamala Harris: ""Who does this fucking lady think she is?""

(0:00) Kamala Harris and the Left Hate the Working Class
(10:42) What Is the Teamsters Union?
(24:57) Why the Left Ruins America’s Major Cities
(33:40) The Democrat Party’s Abuse of Joe https://t.co/YM7Smj9Ny2","Author: Tucker Carlson
Tweet: Teamsters president Sean O’Brien on Kamala Harris: ""Who does this fucking lady think she is?""

(0:00) Kamala Harris and the Left Hate the Working Class
(10:42) What Is the Teamsters Union?
(24:57) Why the Left Ruins America’s Major Cities
(33:40) The Democrat Party’s Abuse of Joe https://t.co/YM7Smj9Ny2",2024-12-23 18:00:45,397468451
1797,398272668,https://twitter.com/TuckerCarlson/status/1871234630159905008,,Twitter,7323732,Tucker Carlson,blank_for_now,blank_for_now,"{""follower_count"":15281402,""following_count"":2,""like_count"":null,""post_count"":5145,""views_count"":null,""comment_count"":null,""share_count"":null}","Jenner Furst, a celebrated documentarian and self-professed leftist, couldn’t deny the truth about Fauci when he started digging. Watch THANK YOU, DR. FAUCI to uncover what made this director break with his politics to make this docu-thriller. &gt;&gt;", ,no longer populated,,2024-12-23T16:41:16.000Z,post data removed,,3619,1089,128,1211219,,,,Embedded content: ,"Jenner Furst, a celebrated documentarian and self-professed leftist, couldn’t deny the truth about Fauci when he started digging. Watch THANK YOU, DR. FAUCI to uncover what made this director break with his politics to make this docu-thriller. &gt;&gt;","Author: Tucker Carlson
Tweet: Jenner Furst, a celebrated documentarian and self-professed leftist, couldn’t deny the truth about Fauci when he started digging. Watch THANK YOU, DR. FAUCI to uncover what made this director break with his politics to make this docu-thriller. &gt;&gt;",2024-12-23 16:41:16,398272668
1798,398919009,https://twitter.com/TuckerCarlson/status/1871234471971975556,,Twitter,7323732,Tucker Carlson,blank_for_now,blank_for_now,"{""follower_count"":15285555,""following_count"":2,""like_count"":null,""post_count"":5145,""views_count"":null,""comment_count"":null,""share_count"":null}","“Five years after Covid killed millions, overturned Western societies and wrecked the American economy, we’re finally learning how and why it was unleashed on the world. This is an amazing documentary.”", ,no longer populated,,2024-12-23T16:40:38.000Z,post data removed,,10632,2961,479,4155246,,,,Embedded content: ,"“Five years after Covid killed millions, overturned Western societies and wrecked the American economy, we’re finally learning how and why it was unleashed on the world. This is an amazing documentary.”","Author: Tucker Carlson
Tweet: “Five years after Covid killed millions, overturned Western societies and wrecked the American economy, we’re finally learning how and why it was unleashed on the world. This is an amazing documentary.”",2024-12-23 16:40:38,398919009
1799,397726682,https://twitter.com/TuckerCarlson/status/1871234363674726577,,Twitter,7323732,Tucker Carlson,blank_for_now,blank_for_now,"{""follower_count"":15285555,""following_count"":2,""like_count"":null,""post_count"":5145,""views_count"":null,""comment_count"":null,""share_count"":null}","“Five years after Covid killed millions, overturned Western societies and wrecked the American economy, we’re finally learning how and why it was unleashed on the world. This is an amazing documentary.”", ,no longer populated,,2024-12-23T16:40:12.000Z,post data removed,,29637,6298,1171,13939568,,,,Embedded content: ,"“Five years after Covid killed millions, overturned Western societies and wrecked the American economy, we’re finally learning how and why it was unleashed on the world. This is an amazing documentary.”","Author: Tucker Carlson
Tweet: “Five years after Covid killed millions, overturned Western societies and wrecked the American economy, we’re finally learning how and why it was unleashed on the world. This is an amazing documentary.”",2024-12-23 16:40:12,397726682
2385,396214303,https://twitter.com/TuckerCarlson/status/1870167518771282121,,Twitter,7323732,Tucker Carlson,blank_for_now,blank_for_now,"{""follower_count"":15292195,""following_count"":2,""like_count"":null,""post_count"":5145,""views_count"":null,""comment_count"":null,""share_count"":null}","Paid partnerships with:

PreBorn: Save babies and souls at https://t.co/tGZ7WEddt1

Jase Medical: Use promo code “Tucker” for an extra discount at https://t.co/eQTjdD4tGH

Eight Sleep: Get $350 off the Pod 4 Ultra at https://t.co/03xAasVPBc", ,no longer populated,"Why isn’t Tony Fauci in prison? You’ll wonder after you watch “Thank You, Dr. Fauci,” now out on TCN. Jenner Furst made the documentary. Even if you think you know a lot, this is an amazing conversation.

(0:00) Exposing Fauci and the COVID Cover-up
(4:24) The Truth About COVID's Origins
(9:53) Were the 2001 Anthrax Attacks a False Flag?
(22:26) The Real Reason Fauci Pushed for mRNA Vaccines
(30:56) The Pandemic Began Much Earlier Than You Were Told
(41:32) Why COVID Is Different From Any Other Virus
(47:47) The Relationship Between Food and COVID
(50:58) Exposing DARPA's Shadowy “Project DEFUSE”
(1:02:43) Who Got Rich From COVID?
(1:23:18) Donald Trump's Historic Appointments
(1:32:00) Bio Labs in Ukraine

Includes paid partnerships.",2024-12-20T18:00:57.000Z,post data removed,,1857,244,102,588034,,"Why isn’t Tony Fauci in prison? You’ll wonder after you watch “Thank You, Dr. Fauci,” now out on TCN. Jenner Furst made the documentary. Even if you think you know a lot, this is an amazing conversation.

(0:00) Exposing Fauci and the COVID Cover-up
(4:24) The Truth About COVID's Origins
(9:53) Were the 2001 Anthrax Attacks a False Flag?
(22:26) The Real Reason Fauci Pushed for mRNA Vaccines
(30:56) The Pandemic Began Much Earlier Than You Were Told
(41:32) Why COVID Is Different From Any Other Virus
(47:47) The Relationship Between Food and COVID
(50:58) Exposing DARPA's Shadowy “Project DEFUSE”
(1:02:43) Who Got Rich From COVID?
(1:23:18) Donald Trump's Historic Appointments
(1:32:00) Bio Labs in Ukraine

Includes paid partnerships.",,Embedded content: ,"Paid partnerships with:

PreBorn: Save babies and souls at https://t.co/tGZ7WEddt1

Jase Medical: Use promo code “Tucker” for an extra discount at https://t.co/eQTjdD4tGH

Eight Sleep: Get $350 off the Pod 4 Ultra at https://t.co/03xAasVPBc","Author: Tucker Carlson
Tweet: Paid partnerships with:

PreBorn: Save babies and souls at https://t.co/tGZ7WEddt1

Jase Medical: Use promo code “Tucker” for an extra discount at https://t.co/eQTjdD4tGH

Eight Sleep: Get $350 off the Pod 4 Ultra at https://t.co/03xAasVPBc",2024-12-20 18:00:57,396214303
